Команда-/start;Запрос-;10/14/22:22:22:42
Команда-/help;Запрос-;10/14/22:22:22:45
Команда-/weather;Запрос-Омск;10/14/22:22:22:52
Команда-/simple_calc;Запрос-2-5+24;10/14/22:22:23:07
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:26:07
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:29:48
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:31:40
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:32:41
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:33:44
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:35:27
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:40:29
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:41:26
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:44:25
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:21:45:34
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:22:00:49
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:22:03:16
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:22:04:08
Команда-/help;Запрос-;10/15/22:22:05:21
Команда-/weather;Запрос-Surgut;10/15/22:22:05:38
Команда-/weather;Запрос-Omsk;10/15/22:22:05:49
Команда-/weather;Запрос-Ufa;10/15/22:22:05:56
Команда-/weather;Запрос-Moscow;10/15/22:22:06:10
Команда-/weather;Запрос-Ggrhh;10/15/22:22:06:32
Команда-/weather;Запрос-London;10/15/22:22:06:43
Команда-/weather;Запрос-Новый;10/15/22:22:07:03
Команда-/weather;Запрос-Когалым;10/15/22:22:07:15
Команда-/weather;Запрос-Ванавара;10/15/22:22:07:31
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:22:33:33
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:22:34:56
Команда-/getvideo;Запрос-https://youtu.be/a50yg9s3wO4;10/15/22:22:36:07
Команда-/start;Запрос-;10/17/22:12:12:35
Команда-/help;Запрос-;10/17/22:12:12:38
Команда-/weather;Запрос-Сургут;10/17/22:12:12:52
Команда-/simple_calc;Запрос-2+3;10/17/22:12:13:01
Команда-/game;Запрос-;10/17/22:12:13:06
